Position,name,Institution,Class,Hometown
C,Jack Arend,Bates,So.,"Newfields, N.H."
OF,Alex Cappitelli,Wesleyan,So.,"North Caldwell, N.J."
P,R.J. Hall,Tufts,Jr.,"Marietta, Ga."
IF,Justin Han,Middlebury,So.,"Vienna, Va."
OF,Ariel Kenney,Amherst,Sr.,"Chula Vista, Calif."
IF,Matt Koperniak,Trinity,So.,"Adams, Mass."
IF,Eric Mah,Bowdoin,So.,"Newtonville, Mass."
IF,Cooper Mooney,Trinity,Sr.,"Southbury, Conn."
P,Colby Morris,Middlebury,Jr.,"Del Mar, Calif."
OF,Malcolm Nachmanoff,Tufts,Sr.,"Boston, Mass."
IF,Nick Falkson,Tufts,Sr.,"Dedham, Mass."
OF,Joe Gentile,Bowdoin,Sr.,"Groton, Mass."
P,Ian Nish,Hamilton,Jr.,"Cutchogue, N.Y."
IF,Harry Roberson,Amherst,Sr.,"Arlington, Mass."
OF,Danny Rose,Wesleyan,Jr.,"Ipswich, Mass."
P,Alex Shafer,Trinity,So.,"Baltimore, Md."
C,Severino Simeone,Amherst,So.,"Weston, Mass."
UT,Mike Stamas,Williams,So.,"Northborough, Mass."
IF,Max Steinhorn,Amherst,Sr.,"Washington, D.C."
OF,Matt Treveloni,Colby,Sr.,"Ashland, Mass."
IF,Matt Zaffino,Hamilton,Fy.,"New Canaan, Conn."
IF,Tommy O'Hara,Tufts,Sr.,"Glenview, Ill."
